,,,,,,,,,,,,
,,,,,,,,,,,,
State,District,No. of consumers submitted response,Facing Meter issue,Higher meter reading,App installed,Features available,Bill is easy to understand,Mobile app easy to use,Overall Experience is Excellent,Overall Experience is good,Overall Experience is bad,Overall Experience is average
Unknown,Unknown,15,"2
13%","0
0%","3
20%","3
20%","2
13%","2
13%","0
0%","2
13%","1
7%","0
0%"
Uttar Pradesh,Unknown,2621,"1495
57%","432
16%","793
30%","655
25%","545
21%","472
18%","83
3%","214
8%","350
13%","227
9%"
Uttar Pradesh,AMROHA,878,"493
56%","139
16%","220
25%","173
20%","174
20%","161
18%","25
3%","72
8%","97
11%","76
9%"
Uttar Pradesh,BAGHPAT,33,"25
76%","9
27%","8
24%","6
18%","7
21%","5
15%","0
0%","1
3%","11
33%","4
12%"
Assam,Bajali,124,"73
59%","24
19%","55
44%","47
38%","35
28%","36
29%","7
6%","15
12%","11
9%","9
7%"
Assam,Baksa,300,"148
49%","42
14%","132
44%","116
39%","88
29%","96
32%","20
7%","39
13%","18
6%","30
10%"
Chhatisgarh,Balod,1,"1
100%","0
0%","0
0%","0
0%","0
0%","0
0%","0
0%","0
0%","0
0%","0
0%"
Chhatisgarh,Balodabazar,1136,"567
50%","194
17%","266
23%","217
19%","285
25%","263
23%","40
4%","125
11%","119
10%","92
8%"
Assam,Barpeta,435,"269
62%","93
21%","221
51%","188
43%","128
29%","136
31%","21
5%","61
14%","50
11%","30
7%"
Chhatisgarh,Bijapur,3,"1
33%","0
0%","1
33%","1
33%","0
0%","0
0%","0
0%","0
0%","0
0%","0
0%"
Uttar Pradesh,BIJNOR,1255,"711
57%","206
16%","304
24%","233
19%","248
20%","223
18%","36
3%","109
9%","162
13%","105
8%"
Assam,Biswanath,141,"85
60%","22
16%","62
44%","54
38%","38
27%","36
26%","5
4%","25
18%","10
7%","8
6%"
Assam,Bongaigaon,5,"2
40%","1
20%","4
80%","4
80%","3
60%","3
60%","1
20%","2
40%","0
0%","0
0%"
Uttar Pradesh,BULANDSHAHR,1817,"968
53%","281
15%","454
25%","375
21%","410
23%","326
18%","58
3%","157
9%","273
15%","161
9%"
Uttar Pradesh,Bulandshahr,299,"132
44%","24
8%","74
25%","62
21%","73
24%","58
19%","12
4%","35
12%","43
14%","26
9%"
Assam,Charaideo,224,"115
51%","39
17%","121
54%","102
46%","74
33%","78
35%","8
4%","39
17%","16
7%","23
10%"
Assam,Chirang,13,"5
38%","2
15%","6
46%","5
38%","3
23%","3
23%","0
0%","3
23%","1
8%","0
0%"
Assam,Darrang,299,"190
64%","56
19%","147
49%","134
45%","98
33%","103
34%","14
5%","44
15%","39
13%","29
10%"
Chhatisgarh,Dhamtari,460,"198
43%","79
17%","107
23%","88
19%","133
29%","122
27%","19
4%","59
13%","43
9%","46
10%"
Assam,Dhemaji,162,"106
65%","33
20%","81
50%","71
44%","43
27%","41
25%","7
4%","21
13%","24
15%","9
6%"
Assam,Dhubri,263,"179
68%","45
17%","99
38%","82
31%","59
22%","58
22%","11
4%","25
10%","19
7%","17
6%"
Assam,Dibrugarh,37,"16
43%","5
14%","13
35%","10
27%","10
27%","10
27%","1
3%","2
5%","5
14%","4
11%"
Assam,Dima Hasao,21,"8
38%","3
14%","6
29%","5
24%","6
29%","7
33%","4
19%","0
0%","0
0%","4
19%"
Chhatisgarh,Durg,3,"1
33%","0
0%","1
33%","0
0%","1
33%","1
33%","0
0%","1
33%","0
0%","0
0%"
Uttar Pradesh,EDC BALLIA,1550,"767
49%","265
17%","307
20%","236
15%","346
22%","302
19%","59
4%","154
10%","207
13%","130
8%"
Uttar Pradesh,EDC GHAZIPUR,1321,"586
44%","176
13%","259
20%","201
15%","316
24%","244
18%","49
4%","137
10%","146
11%","103
8%"
Uttar Pradesh,EDC I AZAMGARH,272,"148
54%","50
18%","54
20%","39
14%","48
18%","42
15%","5
2%","21
8%","31
11%","22
8%"
Uttar Pradesh,EDC-CHANDAULI,1898,"1078
57%","377
20%","515
27%","435
23%","468
25%","417
22%","71
4%","197
10%","258
14%","185
10%"
Uttar Pradesh,EDC-JAUNPUR,1122,"586
52%","191
17%","281
25%","227
20%","270
24%","233
21%","32
3%","108
10%","171
15%","116
10%"
Uttar Pradesh,EDC-MAU,1516,"717
47%","215
14%","287
19%","218
14%","309
20%","253
17%","37
2%","100
7%","172
11%","135
9%"
Uttar Pradesh,EDD AMETHI,18,"14
78%","3
17%","2
11%","2
11%","2
11%","1
6%","0
0%","0
0%","6
33%","1
6%"
Uttar Pradesh,EDD BALRAMPUR,74,"49
66%","12
16%","25
34%","19
26%","13
18%","10
14%","3
4%","5
7%","9
12%","4
5%"
Uttar Pradesh,EDD BISWAN,12,"8
67%","4
33%","3
25%","2
17%","2
17%","1
8%","0
0%","0
0%","2
17%","1
8%"
Uttar Pradesh,EDD DALMAU,18,"13
72%","3
17%","4
22%","3
17%","2
11%","1
6%","0
0%","2
11%","3
17%","0
0%"
Uttar Pradesh,EDD FATEHPUR,4,"3
75%","2
50%","2
50%","2
50%","1
25%","1
25%","0
0%","0
0%","2
50%","1
25%"
Uttar Pradesh,EDD GAURAIGANJ,25,"16
64%","3
12%","6
24%","4
16%","1
4%","2
8%","0
0%","1
4%","2
8%","1
4%"
Uttar Pradesh,EDD HAIDERGARH,1,"1
100%","1
100%","1
100%","1
100%","0
0%","0
0%","0
0%","0
0%","0
0%","0
0%"
Uttar Pradesh,EDD I AMBEDKAR,79,"47
59%","9
11%","19
24%","15
19%","17
22%","14
18%","2
3%","5
6%","10
13%","11
14%"
Uttar Pradesh,EDD I AYODHYA,159,"91
57%","28
18%","54
34%","42
26%","27
17%","23
14%","8
5%","8
5%","18
11%","10
6%"
Uttar Pradesh,EDD I BAHRAICH,96,"58
60%","16
17%","25
26%","20
21%","19
20%","16
17%","2
2%","8
8%","9
9%","10
10%"
Uttar Pradesh,EDD I BARABANKI,69,"45
65%","9
13%","21
30%","15
22%","8
12%","6
9%","0
0%","3
4%","8
12%","4
6%"
Uttar Pradesh,EDD I GOLA,92,"55
60%","18
20%","33
36%","24
26%","23
25%","20
22%","4
4%","10
11%","16
17%","8
9%"
Uttar Pradesh,EDD I GONDA,155,"84
54%","19
12%","37
24%","31
20%","41
26%","34
22%","2
1%","18
12%","19
12%","21
14%"
Uttar Pradesh,EDD I HARDOI,15,"9
60%","5
33%","3
20%","2
13%","4
27%","3
20%","2
13%","0
0%","4
27%","0
0%"
Uttar Pradesh,EDD I LAKHIMPUR,102,"57
56%","22
22%","26
25%","18
18%","17
17%","14
14%","3
3%","5
5%","15
15%","8
8%"
Uttar Pradesh,EDD I RAEBARELI,144,"83
58%","24
17%","39
27%","32
22%","37
26%","29
20%","8
6%","11
8%","20
14%","16
11%"
Uttar Pradesh,EDD I SITAPUR,200,"106
53%","36
18%","54
27%","41
21%","36
18%","37
19%","7
4%","14
7%","28
14%","19
10%"
Uttar Pradesh,EDD I SULTANPUR,114,"64
56%","19
17%","18
16%","13
11%","23
20%","19
17%","3
3%","10
9%","8
7%","11
10%"
Uttar Pradesh,EDD I UNNAO,238,"140
59%","38
16%","52
22%","44
18%","46
19%","32
13%","3
1%","17
7%","30
13%","26
11%"
Uttar Pradesh,EDD II AYODHYA,68,"43
63%","20
29%","16
24%","11
16%","11
16%","11
16%","2
3%","0
0%","13
19%","4
6%"
Uttar Pradesh,EDD II BAHRAICH NANPARA,11,"7
64%","3
27%","4
36%","4
36%","1
9%","2
18%","1
9%","1
9%","1
9%","0
0%"
Uttar Pradesh,EDD II GONDA NAWAB GANJ,17,"11
65%","6
35%","6
35%","4
24%","1
6%","1
6%","0
0%","1
6%","1
6%","0
0%"
Uttar Pradesh,EDD II HARDOI,168,"86
51%","28
17%","42
25%","36
21%","35
21%","29
17%","2
1%","13
8%","22
13%","22
13%"
Uttar Pradesh,EDD II LAKHIMPUR MITAULI,50,"28
56%","9
18%","10
20%","7
14%","11
22%","13
26%","3
6%","3
6%","5
10%","7
14%"
Uttar Pradesh,EDD II MOHAMMADI,25,"21
84%","9
36%","7
28%","5
20%","4
16%","5
20%","0
0%","1
4%","4
16%","1
4%"
Uttar Pradesh,EDD II RAEBARELI TRIPHULA,27,"15
56%","3
11%","10
37%","7
26%","4
15%","4
15%","1
4%","0
0%","3
11%","3
11%"
Uttar Pradesh,EDD II SITAPUR,48,"31
65%","15
31%","11
23%","9
19%","11
23%","7
15%","2
4%","1
2%","8
17%","4
8%"
Uttar Pradesh,EDD II UNNAO,72,"39
54%","14
19%","25
35%","22
31%","20
28%","18
25%","2
3%","11
15%","9
13%","9
13%"
Uttar Pradesh,EDD III AYODHYA MILKIPUR,8,"5
63%","3
38%","2
25%","1
13%","1
13%","3
38%","0
0%","1
13%","2
25%","0
0%"
Uttar Pradesh,EDD III BAHRAICH KESERGANJ,62,"41
66%","7
11%","20
32%","17
27%","11
18%","11
18%","2
3%","7
11%","3
5%","3
5%"
Uttar Pradesh,EDD III GONDA COLONELGANJ,35,"19
54%","8
23%","8
23%","6
17%","7
20%","6
17%","1
3%","3
9%","6
17%","2
6%"
Uttar Pradesh,EDD III LAKHIMPUR NIGHASAN,17,"10
59%","2
12%","5
29%","5
29%","5
29%","3
18%","2
12%","1
6%","3
18%","0
0%"
Uttar Pradesh,EDD III PALIYA,36,"24
67%","10
28%","9
25%","7
19%","3
8%","2
6%","1
3%","0
0%","4
11%","1
3%"
Uttar Pradesh,EDD III UNNAO PURWA,32,"18
56%","6
19%","5
16%","4
13%","6
19%","6
19%","1
3%","3
9%","3
9%","2
6%"
Uttar Pradesh,EDD IV GONDA MANKAPUR,26,"18
69%","6
23%","9
35%","8
31%","5
19%","5
19%","3
12%","1
4%","4
15%","0
0%"
Uttar Pradesh,EDD IV UNNAO BANGARMAU,46,"30
65%","11
24%","14
30%","10
22%","8
17%","6
13%","2
4%","0
0%","7
15%","5
11%"
Uttar Pradesh,EDD JAGDISHPUR,21,"15
71%","1
5%","4
19%","3
14%","3
14%","3
14%","0
0%","1
5%","1
5%","4
19%"
Uttar Pradesh,EDD JAISINGHPUR,8,"4
50%","2
25%","2
25%","2
25%","4
50%","3
38%","0
0%","3
38%","2
25%","1
13%"
Uttar Pradesh,EDD JALALPUR,6,"2
33%","1
17%","1
17%","1
17%","2
33%","2
33%","1
17%","0
0%","0
0%","1
17%"
Uttar Pradesh,EDD KADIPUR,4,"3
75%","0
0%","2
50%","3
75%","0
0%","0
0%","0
0%","0
0%","0
0%","0
0%"
Uttar Pradesh,EDD LALGANJ,31,"16
52%","2
6%","8
26%","4
13%","3
10%","5
16%","0
0%","2
6%","2
6%","1
3%"
Uttar Pradesh,EDD MAHAMUDABAD,27,"17
63%","6
22%","4
15%","2
7%","5
19%","3
11%","0
0%","2
7%","6
22%","0
0%"
Uttar Pradesh,EDD MAHARAJGANJ,10,"5
50%","5
50%","4
40%","4
40%","4
40%","3
30%","1
10%","1
10%","2
20%","0
0%"
Uttar Pradesh,EDD RAMSENHI GHAT,1,"1
100%","1
100%","0
0%","0
0%","0
0%","0
0%","0
0%","0
0%","1
100%","0
0%"
Uttar Pradesh,EDD RUDAULI,19,"11
58%","3
16%","4
21%","3
16%","5
26%","4
21%","0
0%","2
11%","5
26%","2
11%"
Uttar Pradesh,EDD SALON,30,"17
57%","5
17%","10
33%","7
23%","5
17%","4
13%","1
3%","1
3%","2
7%","2
7%"
Uttar Pradesh,EDD SANDILA,30,"18
60%","4
13%","12
40%","6
20%","7
23%","5
17%","1
3%","4
13%","3
10%","2
7%"
Uttar Pradesh,EDD SHAHABAD,23,"15
65%","4
17%","10
43%","9
39%","3
13%","3
13%","0
0%","3
13%","3
13%","0
0%"
Uttar Pradesh,EDD SRAVASTI,41,"17
41%","4
10%","10
24%","8
20%","6
15%","7
17%","1
2%","3
7%","2
5%","2
5%"
Uttar Pradesh,EDD TILOI,3,"2
67%","0
0%","1
33%","0
0%","0
0%","0
0%","0
0%","0
0%","0
0%","0
0%"
Uttar Pradesh,EDD TULSIPUR,18,"12
67%","2
11%","3
17%","3
17%","4
22%","4
22%","0
0%","4
22%","2
11%","0
0%"
Uttar Pradesh,EDD UNCHAHAR,47,"27
57%","11
23%","15
32%","11
23%","14
30%","13
28%","4
9%","5
11%","6
13%","5
11%"
Uttar Pradesh,EDD V UNNAO HASANGANJ,10,"8
80%","4
40%","1
10%","1
10%","1
10%","1
10%","1
10%","0
0%","1
10%","0
0%"
Uttar Pradesh,EUDC I VARANASI,1410,"695
49%","205
15%","343
24%","281
20%","346
25%","278
20%","57
4%","129
9%","195
14%","140
10%"
Uttar Pradesh,EUDC II VARANASI,724,"354
49%","112
15%","165
23%","138
19%","199
27%","150
21%","30
4%","62
9%","119
16%","85
12%"
Chhatisgarh,Gariyaband,481,"217
45%","67
14%","134
28%","103
21%","132
27%","114
24%","15
3%","84
17%","33
7%","33
7%"
Uttar Pradesh,GAUTAM BUDDHA NAGAR,323,"141
44%","30
9%","67
21%","57
18%","69
21%","58
18%","15
5%","24
7%","41
13%","32
10%"
Uttar Pradesh,GHAZIABAD,1537,"714
46%","189
12%","348
23%","272
18%","340
22%","271
18%","60
4%","129
8%","195
13%","169
11%"
Assam,Goalpara,123,"72
59%","24
20%","51
41%","41
33%","27
22%","27
22%","7
6%","9
7%","15
12%","5
4%"
Unknown,Golaghat,342,"189
55%","63
18%","178
52%","149
44%","103
30%","121
35%","21
6%","58
17%","34
10%","25
7%"
Assam,Hailakandi,1,"1
100%","0
0%","0
0%","0
0%","0
0%","0
0%","0
0%","0
0%","1
100%","0
0%"
Uttar Pradesh,HAPUR,554,"296
53%","87
16%","126
23%","100
18%","120
22%","100
18%","23
4%","40
7%","72
13%","51
9%"
Unknown,Hojai,294,"185
63%","58
20%","140
48%","115
39%","73
25%","79
27%","22
7%","23
8%","24
8%","19
6%"
Assam,Hojai,3,"2
67%","2
67%","3
100%","3
100%","2
67%","2
67%","0
0%","0
0%","0
0%","2
67%"
Rajasthan,Jodhpur,1,"1
100%","0
0%","1
100%","1
100%","0
0%","0
0%","0
0%","0
0%","0
0%","0
0%"
Assam,Jorhat,433,"208
48%","72
17%","225
52%","197
45%","156
36%","154
36%","27
6%","76
18%","35
8%","45
10%"
Assam,Kamrup Metro,705,"207
29%","130
18%","385
55%","361
51%","334
47%","310
44%","105
15%","121
17%","46
7%","79
11%"
Assam,Kamrup Rural,25,"9
36%","4
16%","13
52%","13
52%","8
32%","8
32%","2
8%","4
16%","1
4%","1
4%"
Chhatisgarh,Kanker,1,"0
0%","0
0%","0
0%","0
0%","0
0%","0
0%","0
0%","0
0%","0
0%","0
0%"
Uttar Pradesh,Kanpurnagar,2237,"1101
49%","325
15%","522
23%","427
19%","647
29%","516
23%","102
5%","281
13%","258
12%","264
12%"
Assam,Karbi Anglong,129,"79
61%","22
17%","41
32%","32
25%","35
27%","34
26%","3
2%","20
16%","8
6%","10
8%"
Assam,Karimganj,1,"0
0%","0
0%","0
0%","0
0%","0
0%","0
0%","0
0%","0
0%","0
0%","0
0%"
Assam,Kokrajhar,127,"66
52%","16
13%","64
50%","56
44%","36
28%","35
28%","8
6%","20
16%","6
5%","7
6%"
Chhatisgarh,Kondagaon,1,"1
100%","0
0%","0
0%","0
0%","1
100%","1
100%","0
0%","1
100%","0
0%","0
0%"
Assam,Lakhimpur,69,"41
59%","8
12%","28
41%","23
33%","17
25%","17
25%","6
9%","7
10%","4
6%","4
6%"
Chhatisgarh,Mahasamund,870,"368
42%","105
12%","188
22%","154
18%","231
27%","213
24%","38
4%","129
15%","61
7%","57
7%"
Assam,Majuli,110,"71
65%","32
29%","58
53%","52
47%","35
32%","37
34%","7
6%","15
14%","16
15%","7
6%"
Assam,Marigaon,129,"70
54%","25
19%","52
40%","40
31%","45
35%","40
31%","8
6%","19
15%","9
7%","12
9%"
Uttar Pradesh,MEERUT,3766,"1977
52%","500
13%","874
23%","719
19%","810
22%","661
18%","134
4%","353
9%","487
13%","277
7%"
Uttar Pradesh,MIRZAPUR,370,"198
54%","68
18%","91
25%","80
22%","90
24%","86
23%","8
2%","32
9%","52
14%","49
13%"
Uttar Pradesh,MORADABAD,2611,"1413
54%","319
12%","641
25%","509
19%","511
20%","459
18%","80
3%","227
9%","317
12%","204
8%"
Uttar Pradesh,MUZAFFARNAGAR,2125,"1113
52%","352
17%","529
25%","423
20%","469
22%","416
20%","76
4%","165
8%","299
14%","195
9%"
Assam,Nagaon,17,"11
65%","3
18%","6
35%","4
24%","5
29%","5
29%","1
6%","3
18%","1
6%","0
0%"
Assam,Nalbari,464,"237
51%","110
24%","262
56%","233
50%","154
33%","165
36%","36
8%","60
13%","56
12%","59
13%"
Uttar Pradesh,PRAYAGRAJ,1361,"650
48%","178
13%","323
24%","258
19%","333
24%","251
18%","45
3%","128
9%","214
16%","160
12%"
Chhatisgarh,Raipur,4724,"1876
40%","585
12%","956
20%","734
16%","1214
26%","1040
22%","228
5%","558
12%","370
8%","345
7%"
Chhatisgarh,Rajnandgaon,3,"2
67%","1
33%","2
67%","2
67%","1
33%","2
67%","1
33%","1
33%","0
0%","0
0%"
Uttar Pradesh,RAMPUR,996,"581
58%","132
13%","259
26%","205
21%","152
15%","131
13%","25
3%","62
6%","108
11%","64
6%"
Uttar Pradesh,SAHARANPUR,1624,"787
48%","221
14%","382
24%","290
18%","375
23%","315
19%","54
3%","158
10%","197
12%","156
10%"
Uttar Pradesh,SAMBHAL,393,"210
53%","62
16%","107
27%","87
22%","69
18%","65
17%","12
3%","31
8%","36
9%","32
8%"